provider_id,hospital_name,street_address,po_box,city,state,zip_code,county,fips,rural_urban,total_general_bed_count,total_general_annual_occupancy_rate,total_general_number_of_empty_beds,intensive_care_bed_count,intensive_care_annual_occupancy_rate,intensive_care_number_of_empty_beds,total_population,population_60_or_older,percent_of_population_60_or_older
450674,WOMANS HOSPITAL OF TEXAS,7600 FANNIN STREET,,HOUSTON,TX,77054,HARRIS,48201,urban,257.0,120.46,-53.0,4.0,31.23,2.0,4602523,680268,14.78
110008,NORTHSIDE HOSPITAL-CHEROKEE  INC.,201 HOSPITAL ROAD,,CANTON,GA,30115-,CHEROKEE,13057,urban,114.0,116.61,-19.0,,,,241910,44668,18.46
310044,CAPITAL HEALTH MED CENTER - HOPEWELL,ONE CAPITAL WAY,,HOPEWELL,NJ,08534-8534,MERCER,34021,urban,145.0,112.03,-18.0,16.0,73.3,4.0,368762,75618,20.51
110161,NORTHSIDE HOSPITAL,1000 JOHNSON FERRY ROAD  NE,,ATLANTA,GA,30342-,FULTON,13121,urban,536.0,107.19,-39.0,28.0,78.82,5.0,1021902,166190,16.26
500015,MULTICARE AUBURN MEDICAL CENTER,202 NORTH DIVISION STREET,,AUBURN,WA,98001,KING,53033,urban,73.0,104.53,-4.0,16.0,82.33,2.0,2163257,399243,18.46
110209,TURNING POINT HOSPITAL,319 EAST BYPASS,,MOULTREE,GA,31768,COLQUITT,13071,rural,33.0,104.32,-2.0,,,,45606,9005,19.75
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,,MANHASSET,NY,10030,NASSAU,36059,urban,764.0,101.76,-14.0,47.0,62.83,17.0,1356564,322495,23.77
330164,HIGHLAND HOSPITAL,1000 SOUTH AVENUE,,ROCHESTER,NY,14620,MONROE,36055,urban,240.0,100.79,-2.0,14.0,84.31,2.0,744248,170710,22.94
050262,RONALD REAGAN UCLA,757 WESTWOOD PLAZA,,LOS ANGELES,CA,90095,LOS ANGELES,06037,urban,458.0,99.24,3.0,120.0,97.58,2.0,10098052,1847041,18.29
330285,STRONG MEMORIAL HOSPITAL,135 CORPORATE WOODS  SUITE 380,,ROCHESTER,NY,14623,MONROE,36055,urban,739.0,98.69,9.0,110.0,87.45,13.0,744248,170710,22.94
090001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD STREET,,WASHINGTON,DC,20037-2377,DC,11001,urban,321.0,97.75,7.0,56.0,74.92,14.0,684498,115176,16.83
220110,BRIGHAM AND WOMENS HOSPITAL,75 FRANCIS STREET,3714,BOSTON,MA,02115,SUFFOLK,25025,urban,764.0,96.88,23.0,,,,791766,129585,16.37
330194,MAIMONIDES MEDICAL CENTER,48-02 TENTH AVENUE,,BROOKLYN,NY,11219,KINGS,36047,urban,551.0,96.66,18.0,18.0,98.49,0.0,2600747,482522,18.55
370234,OKLAHOMA HEART HOSPITAL SOUTH,5200 EAST I-240 HWY,,OKLAHOMA CITY,OK,73135-,OKLAHOMA,40109,urban,44.0,96.57,1.0,,,,782051,144508,18.48
330226,THE UNITY HOSPITAL OF ROCHESTER,1555 LONG POND ROAD,,ROCHESTER,NY,14626,MONROE,36055,urban,283.0,96.4,10.0,14.0,63.6,5.0,744248,170710,22.94
050320,ALAMEDA HEALTH SYSTEM,1411 EAST 31ST STREET,,OAKLAND,CA,94602-,ALAMEDA,06001,urban,169.0,96.19,6.0,24.0,85.41,3.0,1643700,309018,18.8
330154,MEMORIAL HOSPITAL FOR CANCER AND ALL,1275 YORK AVENUE,,NEW YORK,NY,10065,NEW YORK,36061,urban,489.0,96.05,19.0,25.0,92.76,1.0,1632480,348073,21.32
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,,STATEN ISLAND,NY,10305,RICHMOND,36085,urban,542.0,95.95,21.0,44.0,85.39,6.0,474101,104593,22.06
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L. LEVY PLACE,,NEW YORK,NY,10029,MANHATTAN,36061,urban,1035.0,95.69,44.0,75.0,31.85,51.0,1632480,348073,21.32
220162,DANA-FARBER CANCER INSTITUTE,450 BROOKLINE AVE,,BOSTON,MA,02215,SUFFOLK,25025,urban,30.0,95.29,1.0,,,,791766,129585,16.37
500064,HARBORVIEW MEDICAL CENTER,325 9TH AVENUE,,SEATTLE,WA,98104-2499,KING,53033,urban,321.0,95.14,15.0,89.0,84.41,13.0,2163257,399243,18.46
030122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGHLEY ROAD,,GILBERT,AZ,85234,MARICOPA,04013,urban,165.0,94.97,8.0,24.0,32.36,16.0,4253913,844570,19.85
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,,NASHVILLE,TN,37232,DAVIDSON,47037,urban,938.0,94.93,47.0,111.0,89.24,11.0,684017,116251,17.0
050276,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,,MARTINEZ,CA,94553,CONTRA COSTA,06013,urban,124.0,94.15,7.0,8.0,88.32,0.0,1133247,238982,21.09
050030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,,OROVILLE,CA,95965-,BUTTE,06007,urban,133.0,94.08,7.0,10.0,77.75,2.0,227075,55060,24.25
500150,LEGACY SALMON CREEK HOSPITAL,2211 NE 139TH STREET,,VANCOUVER,WA,98686,CLARK,53011,urban,166.0,93.82,10.0,16.0,63.41,5.0,465384,96871,20.82
340098,MERCY HOSPITALS  INC.,10628 PARK ROAD,,CHARLOTTE,NC,28210-8407,MECKLENBURG,37119,urban,208.0,93.7,13.0,30.0,77.4,6.0,1054314,163714,15.53
110079,GRADY MEMORIAL HOSPITAL,80 JESSE HILL JR. DRIVE  SE,,ATLANTA,GA,30303-3050,FULTON,13121,urban,659.0,93.66,41.0,140.0,95.26,6.0,1021902,166190,16.26
330055,NEWYORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,,FLUSHING,NY,11355,QUEENS,36081,urban,476.0,93.34,31.0,29.0,100.17,-1.0,2298513,478116,20.8
050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,30 MARK WEST SPRINGS ROAD,,SANTA ROSA,CA,95403,SONOMA,06097,urban,84.0,93.26,5.0,12.0,93.61,0.0,501317,128670,25.67
330185,MATHER HOSPITAL,75 N COUNTRY ROAD,,PORT JEFFERSON,NY,11777,SUFFOLK,36103,urban,172.0,93.19,11.0,12.0,84.16,1.0,1487901,335142,22.52
340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TOWNSHIP PARKWAY,3310,MATTHEWS,NC,28105,MECKLENBURG,37119,urban,123.0,93.09,8.0,10.0,65.97,3.0,1054314,163714,15.53
220163,UMASS MEMORIAL MEDICAL CENTER,55 LAKE AVE. NORTH,,WORCESTER,MA,01655,WORCESTER,25027,urban,591.0,92.91,41.0,82.0,82.65,14.0,822280,175524,21.35
330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,,BAY SHORE,NY,11706,SUFFOLK,36103,urban,288.0,92.44,21.0,36.0,88.21,4.0,1487901,335142,22.52
100135,TALLAHASSEE MEMORIAL HOSPITAL,MAGNOLIA DRIVE & MICCOSUKEE ROAD,,TALLAHASSEE,FL,32308-,LEON,12073,urban,386.0,92.43,29.0,30.0,66.93,9.0,288102,51241,17.79
050146,CITY OF HOPE NATIONAL MEDICAL CTR,1500 E. DUARTE ROAD,,DUARTE,CA,91010,LOS ANGELES,06037,urban,217.0,92.2,16.0,18.0,81.22,3.0,10098052,1847041,18.29
490007,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM ROAD,,NORFOLK,VA,23507,NORFOLK CITY,51710,urban,466.0,91.93,37.0,43.0,74.84,11.0,245592,37996,15.47
500138,SEATTLE CANCER CARE ALLIANCE,825 EASTLAKE AVE EAST,19023,SEATTLE,WA,98109-1023,KING,53033,urban,20.0,91.82,1.0,,,,2163257,399243,18.46
330236,NEW YORK-PRESBYTERIAN/BROOKLYN METHO,506 SIXTH STREET,,BROOKLYN,NY,11215,KINGS,36047,urban,516.0,91.49,43.0,38.0,90.22,3.0,2600747,482522,18.55
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,Y,BRONX,NY,10467,BRONX,36005,urban,1458.0,91.48,124.0,54.0,79.58,11.0,1437872,246714,17.16
010087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,,MOBILE,AL,36617,MOBILE,01097,urban,149.0,91.44,12.0,9.0,90.87,0.0,414659,90146,21.74
220062,ADCARE HOSPITAL OF WORCESTER,107 LINCOLN STREET,,WORCESTER,MA,01605,WORCESTER,25027,urban,114.0,91.4,9.0,,,,822280,175524,21.35
050543,COLLEGE HOSPITAL COSTA MESA,301 VICTORIA STREET,,COSTA MESA,CA,92627,ORANGE,06059,urban,122.0,91.39,10.0,,,,3164182,617142,19.5
450039,TCHD D/B/A JPS HEALTH NETWORK,1500 SOUTH MAIN STREET,,FORT WORTH,TX,76104-4917,TARRANT,48439,urban,430.0,91.33,37.0,36.0,79.47,7.0,2019977,320578,15.87
450083,UT HEALTH EAST TEXAS TYLER,1000 SOUTH BECKHAM,6400,TYLER,TX,75711-,SMITH,48423,urban,339.0,91.27,29.0,54.0,54.85,24.0,225015,48985,21.77
300029,PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVENUE,,PORTSMOUTH,NH,03801-,ROCKINGHAM,33015,urban,132.0,91.07,11.0,14.0,91.08,1.0,305129,72443,23.74
290003,SUNRISE HOSPITAL AND MEDICAL CENTER,3186 MARYLAND PARKWAY,,LAS VEGAS,NV,89109-2317,CLARK,32003,urban,538.0,91.07,48.0,64.0,80.74,12.0,2141574,421842,19.7
030006,TUCSON MEDICAL CENTER,5301 E GRANT ROAD,,TUCSON,AZ,85712,PIMA,04019,urban,441.0,90.76,40.0,36.0,61.77,13.0,1019722,254746,24.98
390067,PINNACLE HEALTH HOSPITALS,409 S. 2ND STREET,,HARRISBURG,PA,17101,DAUPHIN,42043,urban,493.0,90.7,45.0,20.0,100.0,0.0,274515,63014,22.95
100118,ADVENTHEALTH PALM COAST,60 MEMORIAL MEDICAL PARKWAY,,PALM COAST,FL,32614,FLAGLER,12035,urban,99.0,90.45,9.0,18.0,63.38,6.0,107139,40309,37.62
390111,HOSPITAL OF THE UNIV OF PENNA,3400 SPRUCE STREET,,PHILADELPHIA,PA,19104-,PHILADELPHIA,42101,urban,748.0,90.43,71.0,32.0,91.62,2.0,1575522,294538,18.69
200033,EASTERN MAINE MEDICAL CENTER,489 STATE STREET,404,BANGOR,ME,04401-0489,PENOBSCOT,23019,urban,313.0,90.4,30.0,44.0,93.56,2.0,151748,37532,24.73
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,,BOSTON,MA,02215,SUFFOLK,25025,urban,679.0,90.36,65.0,77.0,86.43,10.0,791766,129585,16.37
220171,LAHEY CLINIC HOSPITAL  INC.,41 MALL ROAD,,BURLINGTON,MA,01805,MIDDLESEX,25017,urban,345.0,90.02,34.0,52.0,81.05,9.0,1595192,328851,20.62
290039,MOUNTAIN VIEW HOSPITAL,3100 N. TENAYA WAY,,LAS VEGAS,NV,89128,CLARK,32003,urban,312.0,90.0,31.0,47.0,81.89,8.0,2141574,421842,19.7
450713,SOUTH AUSTIN MEDICAL CENTER,901 WEST BEN WHITE BLVD,,AUSTIN,TX,78704-,TRAVIS,48453,urban,299.0,89.83,30.0,30.0,79.57,6.0,1203166,168027,13.97
510001,WEST VIRGINIA UNIVERSITY HOSPITALS,MEDICAL CENTER DRIVE,8261,MORGANTOWN,WV,26506,MONONGALIA,54061,urban,585.0,89.78,59.0,65.0,99.26,0.0,105252,17450,16.58
440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,,NASHVILLE,TN,37203,DAVIDSON,47037,urban,472.0,89.63,48.0,24.0,100.0,0.0,684017,116251,17.0
330141,BROOKHAVEN MEMORIAL HOSPITAL DBA LI,101 HOSPITAL RD,,E PATCHOGUE,NY,11772,SUFFOLK,36103,urban,215.0,89.15,23.0,10.0,91.51,0.0,1487901,335142,22.52
