state,county,fips,rural_urban,hospital_count,total_general_bed_count,total_general_annual_occupancy_rate,total_general_number_of_empty_beds,intensive_care_bed_count,intensive_care_annual_occupancy_rate,intensive_care_number_of_empty_beds,total_population,population_60_or_older,percent_of_population_60_or_older
GA,CHEROKEE,13057,urban,1,114.0,116.61,-19.0,0.0,,,241910,44668,18.46
NY,MONROE,36055,urban,5,1737.0,95.43,79.0,154.0,82.27,27.0,744248,170710,22.94
FL,FLAGLER,12035,urban,1,99.0,90.45,9.0,18.0,63.38,6.0,107139,40309,37.62
VA,NORFOLK CITY,51710,urban,2,713.0,90.17,70.0,63.0,75.78,15.0,245592,37996,15.47
GA,HALL,13139,urban,1,545.0,89.14,59.0,85.0,81.22,15.0,195961,38253,19.52
VA,VIRGINIA BEACH CITY,51810,urban,1,174.0,88.57,19.0,16.0,79.11,3.0,450135,84443,18.76
CO,GARFIELD,08045,rural,1,41.0,88.42,4.0,5.0,78.25,1.0,58538,10747,18.36
TN,LOUDON,47105,urban,1,30.0,87.62,3.0,5.0,79.95,1.0,51610,17260,33.44
PA,DAUPHIN,42043,urban,2,1041.0,87.45,130.0,36.0,95.44,1.0,274515,63014,22.95
VA,ARLINGTON,51013,urban,1,305.0,86.92,39.0,32.0,50.26,15.0,231803,33969,14.65
NC,ORANGE,37135,urban,1,803.0,86.9,105.0,0.0,,,142938,27242,19.06
GA,ROCKDALE,13247,urban,1,141.0,86.84,18.0,16.0,58.48,6.0,89011,17794,19.99
GA,F,13113,urban,1,248.0,86.82,32.0,57.0,74.46,14.0,111369,26494,23.79
NY,RICHMOND,36085,urban,2,800.0,86.67,106.0,61.0,84.99,9.0,474101,104593,22.06
NY,MANHATTAN,36061,urban,3,1672.0,86.36,228.0,99.0,45.08,54.0,1632480,348073,21.32
VA,RICHMOND CITY,51760,urban,1,714.0,86.14,99.0,27.0,90.21,2.0,223787,41250,18.43
FL,ALACHUA,12001,urban,2,1310.0,86.11,182.0,58.0,85.19,8.0,263148,49396,18.77
UT,SALT LAKE COUNTY,49035,urban,1,522.0,85.06,78.0,38.0,74.02,9.0,1120805,170489,15.21
MD,BALTIMORE COUNTY,24005,urban,1,269.0,85.04,40.0,24.0,63.98,8.0,827625,190376,23.0
GA,TOOMBS,13279,rural,1,52.0,85.01,7.0,8.0,62.95,2.0,27048,6014,22.23
MO,ST LOUIS CITY,29510,urban,1,288.0,84.95,43.0,79.0,71.52,22.0,311273,59381,19.08
MA,SUFFORK,25025,urban,1,432.0,84.56,66.0,71.0,82.27,12.0,791766,129585,16.37
NC,CUMBERLAND,37051,urban,1,580.0,84.48,90.0,48.0,68.99,14.0,332106,53131,16.0
MN,RAMSEY,27123,urban,2,766.0,84.23,120.0,37.0,75.09,9.0,541493,106074,19.59
MA,SUFFOLK,25025,urban,10,3425.0,83.76,556.0,261.0,66.13,88.0,791766,129585,16.37
WA,PIERCE,53053,urban,5,1199.0,83.64,196.0,186.0,72.45,51.0,859840,163682,19.04
NY,SARATOGA,36091,urban,1,171.0,83.35,28.0,0.0,,,227377,53857,23.69
NY,BRONX,36005,urban,5,2484.0,83.1,419.0,170.0,58.39,70.0,1437872,246714,17.16
NC,DURHAM,37063,urban,3,1277.0,82.91,218.0,70.0,65.84,23.0,306457,54280,17.71
OR,LANE,41039,urban,3,531.0,82.81,91.0,71.0,62.5,26.0,368882,93383,25.32
WA,GRAYS HARBOR,53027,rural,1,49.0,82.73,8.0,8.0,52.64,3.0,71967,20198,28.07
NC,BUNCOMBE,37021,urban,1,665.0,82.59,115.0,146.0,80.56,28.0,254474,66550,26.15
GA,FULTON,13121,urban,5,2367.0,82.56,412.0,315.0,81.12,59.0,1021902,166190,16.26
NY,QUEENS,36081,urban,7,2946.0,82.19,524.0,145.0,75.84,35.0,2298513,478116,20.8
FL,LEON,12073,urban,2,652.0,82.1,116.0,50.0,70.15,14.0,288102,51241,17.79
FL,CLAY,12019,urban,1,273.0,82.05,49.0,28.0,81.9,5.0,207291,43305,20.89
NY,NEW YORK,36061,urban,9,5732.0,81.96,1034.0,553.0,54.52,251.0,1632480,348073,21.32
SC,LEXINGTON,45063,urban,1,436.0,81.74,79.0,21.0,66.55,7.0,286316,61752,21.57
TN,DAVIDSON,47037,urban,9,2854.0,81.6,525.0,359.0,83.31,59.0,684017,116251,17.0
NH,MERRIMACK,33013,rural,1,188.0,81.5,34.0,18.0,67.14,5.0,149452,36138,24.18
GA,GWINNETT,13135,urban,1,471.0,81.28,88.0,44.0,66.23,14.0,902298,129172,14.32
NH,GRAFTON,33009,rural,1,392.0,81.0,74.0,42.0,81.14,8.0,89811,24208,26.95
GA,COBB,13067,urban,2,1009.0,80.97,191.0,81.0,82.43,14.0,745057,125128,16.79
NC,MECKLENBURG,37119,urban,6,2171.0,80.67,419.0,137.0,74.98,34.0,1054314,163714,15.53
SC,SPARTANBURG,45083,urban,3,653.0,80.63,126.0,41.0,55.95,18.0,302195,65848,21.79
NY,SUFFOLK,36103,urban,10,2645.0,80.31,521.0,242.0,82.07,43.0,1487901,335142,22.52
MD,CARROLL,24013,urban,1,153.0,80.11,30.0,12.0,53.15,5.0,167522,38157,22.78
MD,CALVERT,24009,urban,1,68.0,79.99,13.0,4.0,90.82,0.0,91082,18645,20.47
NH,ROCKINGHAM,33015,urban,2,229.0,79.67,46.0,33.0,76.28,7.0,305129,72443,23.74
IN,WARRICK,18173,urban,2,98.0,79.51,20.0,24.0,82.85,4.0,61928,14318,23.12
ME,PENOBSCOT,23019,urban,2,412.0,79.4,84.0,51.0,89.41,5.0,151748,37532,24.73
GA,BARTOW,13015,urban,1,119.0,79.4,24.0,21.0,72.43,5.0,103620,19331,18.66
MD,PRINCE GEORGES COUNTY,24033,urban,1,190.0,79.24,39.0,22.0,66.26,7.0,906202,164145,18.11
