state,rural_urban,hospital_count,total_general_bed_count,total_general_annual_occupancy_rate,total_general_number_of_empty_beds,intensive_care_bed_count,intensive_care_annual_occupancy_rate,intensive_care_number_of_empty_beds,total_population,population_60_or_older,percent_of_population_60_or_older
AK,rural,2,94.0,54.51,42.0,15.0,47.31,7.0,214308,40204,18.76
AK,urban,4,750.0,67.52,243.0,86.0,64.44,30.0,499229,77180,15.46
AL,rural,36,2154.0,31.33,1479.0,193.0,49.22,98.0,1146384,284994,24.86
AL,urban,47,10509.0,64.85,3693.0,893.0,71.17,257.0,3718296,807842,21.73
AR,rural,19,1604.0,36.82,1013.0,155.0,43.11,88.0,1137066,294115,25.87
AR,urban,23,4533.0,61.63,1739.0,412.0,67.01,136.0,1853605,375349,20.25
AZ,rural,3,163.0,40.93,96.0,16.0,64.83,5.0,348295,88179,25.32
AZ,urban,45,9968.0,61.67,3821.0,1084.0,56.5,471.0,6390561,1431273,22.4
CA,rural,9,603.0,56.42,262.0,62.0,57.32,26.0,832683,243927,29.29
CA,urban,254,57302.0,60.3,22748.0,5818.0,58.77,2398.0,38316077,7264007,18.96
CO,rural,11,473.0,39.72,285.0,63.0,35.42,40.0,699657,173083,24.74
CO,urban,36,6596.0,64.53,2339.0,762.0,62.07,289.0,4831484,898720,18.6
CT,rural,1,91.0,59.8,36.0,10.0,46.82,5.0,183031,51466,28.12
CT,urban,28,6448.0,67.44,2099.0,551.0,64.02,198.0,3398473,772063,22.72
DC,urban,7,2112.0,78.34,457.0,175.0,60.83,68.0,684498,115176,16.83
DE,urban,6,1924.0,66.99,635.0,140.0,71.26,40.0,949495,228755,24.09
FL,rural,7,540.0,40.4,321.0,65.0,49.87,32.0,709023,186096,26.25
FL,urban,155,47996.0,63.57,17485.0,4525.0,67.47,1472.0,19889116,5192657,26.11
GA,rural,34,2650.0,44.94,1459.0,294.0,53.46,136.0,1779235,413979,23.27
GA,urban,55,13358.0,74.11,3458.0,1522.0,76.65,355.0,8518249,1516914,17.81
HI,rural,3,188.0,56.98,80.0,20.0,53.29,9.0,269035,73680,27.39
HI,urban,7,1633.0,69.91,491.0,141.0,72.75,38.0,1152919,262173,22.74
IA,rural,14,1012.0,37.48,633.0,84.0,50.33,42.0,1274655,341293,26.78
IA,urban,20,4454.0,63.16,1641.0,294.0,53.69,136.0,1857844,372554,20.05
ID,rural,2,238.0,51.9,114.0,34.0,33.69,22.0,558785,128075,22.92
ID,urban,13,2045.0,57.07,877.0,248.0,57.07,106.0,1129024,227215,20.12
IL,rural,22,1691.0,41.97,981.0,156.0,43.5,88.0,1474139,387214,26.27
IL,urban,96,22392.0,58.96,9189.0,2270.0,58.64,938.0,11347358,2288472,20.17
IN,rural,17,1098.0,43.88,616.0,193.0,42.79,110.0,1462955,351397,24.02
IN,urban,66,12595.0,59.28,5128.0,1273.0,63.83,460.0,5174471,1056285,20.41
KS,rural,22,1242.0,34.75,811.0,150.0,38.67,92.0,933204,223976,24.0
KS,urban,27,4605.0,60.67,1811.0,454.0,63.91,164.0,1975572,391188,19.8
KY,rural,35,3439.0,43.81,1932.0,362.0,60.78,142.0,1832195,435516,23.77
KY,urban,20,6592.0,64.42,2345.0,762.0,68.78,237.0,2608009,535304,20.53
LA,rural,24,1452.0,25.71,1078.0,135.0,33.64,89.0,759232,167228,22.03
LA,urban,61,10281.0,56.9,4431.0,960.0,62.47,360.0,3904384,796986,20.41
MA,rural,2,108.0,53.51,50.0,6.0,42.79,3.0,99349,28247,28.43
MA,urban,54,13171.0,71.53,3749.0,1105.0,62.93,409.0,6730844,1483644,22.04
MD,rural,3,210.0,62.75,78.0,24.0,31.86,16.0,151316,44182,29.2
MD,urban,43,10070.0,75.03,2514.0,895.0,67.26,293.0,5852119,1202704,20.55
ME,rural,8,513.0,60.88,200.0,47.0,43.0,26.0,544298,162843,29.92
ME,urban,9,1717.0,66.51,575.0,148.0,73.05,40.0,788515,197486,25.05
MI,rural,25,2169.0,41.92,1260.0,174.0,60.62,68.0,1797739,497713,27.69
