area_title,total_businesses,total_employees,industry_code,industry_title,size_title,disclosure_warning,businesses,total_qtrly_wages,employees,avg_annual_wage
US,10128767,145906375,111,Crop production,All establishment sizes,TRUE,47888,3732934088,457033,32671.02
US,10128767,145906375,112,Animal production and aquaculture,All establishment sizes,FALSE,26461,2577424144,259734,39693.24
US,10128767,145906375,113,Forestry and logging,All establishment sizes,TRUE,9224,651402434,55367,47060.7
US,10128767,145906375,114,"Fishing, hunting and trapping",All establishment sizes,TRUE,2637,125135611,7538,66405.49
US,10128767,145906375,115,Agriculture and forestry support activities,All establishment sizes,FALSE,20265,2809155528,335867,33455.54
US,10128767,145906375,211,Oil and gas extraction,All establishment sizes,TRUE,7129,8801990062,142828,246506.58
US,10128767,145906375,212,"Mining, except oil and gas",All establishment sizes,FALSE,7056,4001668043,187333,85444.87
US,10128767,145906375,213,Support activities for mining,All establishment sizes,TRUE,18446,8539462881,352210,96981.49
US,10128767,145906375,221,Utilities,All establishment sizes,FALSE,27384,23741090558,807762,117564.83
US,10128767,145906375,236,Construction of buildings,All establishment sizes,TRUE,251100,27940804237,1600931,69811.37
US,10128767,145906375,237,Heavy and civil engineering construction,All establishment sizes,FALSE,57308,20526607072,1144636,71731.45
US,10128767,145906375,238,Specialty trade contractors,All establishment sizes,TRUE,518197,63590278015,4497668,56554
US,10128767,145906375,311,Food manufacturing,All establishment sizes,TRUE,34449,19790669378,1609681,49179.12
US,10128767,145906375,312,Beverage and tobacco product manufacturing,All establishment sizes,FALSE,12636,3790570088,271142,55920
US,10128767,145906375,313,Textile mills,All establishment sizes,TRUE,2651,1321416386,109696,48184.67
US,10128767,145906375,314,Textile product mills,All establishment sizes,FALSE,6476,1199811481,113676,42218.76
US,10128767,145906375,315,Apparel manufacturing,All establishment sizes,TRUE,6648,1197996251,109918,43596
US,10128767,145906375,316,Leather and allied product manufacturing,All establishment sizes,FALSE,1366,315242263,27904,45190.08
