area_fips,area_title,total_businesses,total_employees,industry_code,industry_title,disclosure_warning,businesses,total_qtrly_wages,employees,avg_annual_wage
01000,Alabama,127988,1967752,111,Crop production,FALSE,315,25151479,3076,32706.73
01000,Alabama,127988,1967752,112,Animal production and aquaculture,FALSE,209,22095604,2007,44029.77
01000,Alabama,127988,1967752,113,Forestry and logging,FALSE,632,45832074,4096,44754.24
01000,Alabama,127988,1967752,114,"Fishing, hunting and trapping",FALSE,25,511350,70,29359.81
01000,Alabama,127988,1967752,115,Agriculture and forestry support activities,FALSE,305,31998447,3007,42565.28
01000,Alabama,127988,1967752,211,Oil and gas extraction,FALSE,27,16400928,393,166930.56
01000,Alabama,127988,1967752,212,"Mining, except oil and gas",FALSE,191,116352045,5157,90242.02
01000,Alabama,127988,1967752,213,Support activities for mining,FALSE,124,14744071,891,66215.89
01000,Alabama,127988,1967752,221,Utilities,FALSE,773,760873772,22525,135116.32
01000,Alabama,127988,1967752,236,Construction of buildings,TRUE,2740,307449047,20347,60442.15
01000,Alabama,127988,1967752,237,Heavy and civil engineering construction,TRUE,1033,269857391,17448,61866.7
01000,Alabama,127988,1967752,238,Specialty trade contractors,FALSE,6116,636288699,52992,48028.74
01000,Alabama,127988,1967752,311,Food manufacturing,FALSE,397,298617395,32961,36238.51
01000,Alabama,127988,1967752,312,Beverage and tobacco product manufacturing,FALSE,77,37405050,2369,63148.65
01000,Alabama,127988,1967752,313,Textile mills,FALSE,34,52549274,5008,41972.26
01000,Alabama,127988,1967752,314,Textile product mills,FALSE,108,40009118,4324,37008.36
01000,Alabama,127988,1967752,315,Apparel manufacturing,FALSE,63,18394271,2694,27311.46
01000,Alabama,127988,1967752,316,Leather and allied product manufacturing,FALSE,11,170814,30,23031.1
01000,Alabama,127988,1967752,321,Wood product manufacturing,FALSE,390,201216788,17178,46854.53
01000,Alabama,127988,1967752,322,Paper manufacturing,FALSE,100,249817930,11373,87863.51
01000,Alabama,127988,1967752,323,Printing and related support activities,FALSE,415,33516839,3345,40083.92
01000,Alabama,127988,1967752,324,Petroleum and coal products manufacturing,FALSE,57,62199453,2390,104114.02
01000,Alabama,127988,1967752,325,Chemical manufacturing,FALSE,280,265542176,11098,95705.24
01000,Alabama,127988,1967752,326,Plastics and rubber products manufacturing,FALSE,233,232316255,18541,50120.37
01000,Alabama,127988,1967752,327,Nonmetallic mineral product manufacturing,FALSE,369,110593002,7298,60612.74
01000,Alabama,127988,1967752,331,Primary metal manufacturing,FALSE,143,372899372,17574,84875.24
01000,Alabama,127988,1967752,332,Fabricated metal product manufacturing,FALSE,1095,364852923,27408,53247.01
01000,Alabama,127988,1967752,333,Machinery manufacturing,FALSE,380,156369958,10485,59654.73
01000,Alabama,127988,1967752,334,Computer and electronic product manufacturing,FALSE,213,150159178,8776,68438.23
01000,Alabama,127988,1967752,335,Electrical equipment and appliance mfg.,FALSE,94,76802343,5316,57793.2
01000,Alabama,127988,1967752,336,Transportation equipment manufacturing,TRUE,424,1093407589,64274,68046.65
01000,Alabama,127988,1967752,337,Furniture and related product manufacturing,FALSE,348,93452483,9269,40330.5
01000,Alabama,127988,1967752,339,Miscellaneous manufacturing,FALSE,383,82420550,7119,46310.18
01000,Alabama,127988,1967752,423,"Merchant wholesalers, durable goods",TRUE,2856,588856053,35387,66562.48
01000,Alabama,127988,1967752,424,"Merchant wholesalers, nondurable goods",FALSE,1150,294472105,22023,53484.47
01000,Alabama,127988,1967752,425,Electronic markets and agents and brokers,FALSE,5665,414038589,16341,101351.7
01000,Alabama,127988,1967752,441,Motor vehicle and parts dealers,FALSE,2405,366947841,32081,45752.67
01000,Alabama,127988,1967752,442,Furniture and home furnishings stores,FALSE,874,49650966,6691,29683.72
01000,Alabama,127988,1967752,443,Electronics and appliance stores,FALSE,732,69189783,6325,43754.08
01000,Alabama,127988,1967752,444,Building material and garden supply stores,FALSE,1293,176556360,20301,34788.29
01000,Alabama,127988,1967752,445,Food and beverage stores,TRUE,1454,173051788,32286,21439.85
01000,Alabama,127988,1967752,446,Health and personal care stores,TRUE,2073,157638153,16399,38451.46
01000,Alabama,127988,1967752,447,Gasoline stations,TRUE,3350,88805703,18430,19274.51
01000,Alabama,127988,1967752,448,Clothing and clothing accessories stores,FALSE,1842,71358017,16099,17730.17
01000,Alabama,127988,1967752,451,"Sports, hobby, music instrument, book stores",FALSE,730,42799329,8676,19733.04
01000,Alabama,127988,1967752,452,General merchandise stores,FALSE,1675,366994233,58765,24980.32
01000,Alabama,127988,1967752,453,Miscellaneous store retailers,TRUE,1586,65388884,10666,24523.13
01000,Alabama,127988,1967752,454,Nonstore retailers,FALSE,611,32753912,3370,38880.89
01000,Alabama,127988,1967752,481,Air transportation,FALSE,67,13164643,679,77553.13
01000,Alabama,127988,1967752,483,Water transportation,FALSE,25,7571078,398,76155.02
01000,Alabama,127988,1967752,484,Truck transportation,TRUE,2314,344291177,27263,50513.44
01000,Alabama,127988,1967752,485,Transit and ground passenger transportation,FALSE,250,42132255,7085,23786.74
01000,Alabama,127988,1967752,486,Pipeline transportation,FALSE,50,24078595,631,152718.36
01000,Alabama,127988,1967752,487,Scenic and sightseeing transportation,FALSE,41,660815,63,42179.68
01000,Alabama,127988,1967752,488,Support activities for transportation,TRUE,700,137068354,9081,60375.89
01000,Alabama,127988,1967752,491,Postal service,FALSE,587,115928202,8783,52794.63
01000,Alabama,127988,1967752,492,Couriers and messengers,FALSE,240,74815009,7366,40627.21
01000,Alabama,127988,1967752,493,Warehousing and storage,TRUE,265,142297251,13290,42828.37
01000,Alabama,127988,1967752,511,"Publishing industries, except internet",FALSE,745,85831178,5631,60974.08
01000,Alabama,127988,1967752,512,Motion picture and sound recording industries,FALSE,208,17735886,2212,32076.96
01000,Alabama,127988,1967752,515,"Broadcasting, except internet",FALSE,217,70063278,3271,85686.85
01000,Alabama,127988,1967752,517,Telecommunications,FALSE,495,158129112,7984,79226.31
01000,Alabama,127988,1967752,518,"Data processing, hosting and related services",TRUE,439,35662323,2096,68047.05
01000,Alabama,127988,1967752,519,Other information services,TRUE,210,13082440,1123,46598.18
01000,Alabama,127988,1967752,521,Monetary authorities - central bank,TRUE,3,,,
01000,Alabama,127988,1967752,522,Credit intermediation and related activities,TRUE,4106,802354037,40566,79115.91
01000,Alabama,127988,1967752,523,"Securities, commodity contracts, investments",FALSE,1018,181752556,4364,166579.9
01000,Alabama,127988,1967752,524,Insurance carriers and related activities,TRUE,3193,614566268,25620,95952.27
01000,Alabama,127988,1967752,525,"Funds, trusts, and other financial vehicles",TRUE,40,,,
01000,Alabama,127988,1967752,531,Real estate,TRUE,4322,191795093,15795,48571.09
01000,Alabama,127988,1967752,532,Rental and leasing services,FALSE,893,86617225,7341,47196.42
01000,Alabama,127988,1967752,533,Lessors of nonfinancial intangible assets,FALSE,36,2595854,110,94394.69
01000,Alabama,127988,1967752,541,Professional and technical services,FALSE,14029,2140579165,109183,78421.94
01000,Alabama,127988,1967752,551,Management of companies and enterprises,FALSE,973,488233118,15931,122589.5
01000,Alabama,127988,1967752,561,Administrative and support services,FALSE,6528,856868984,119944,28575.63
01000,Alabama,127988,1967752,562,Waste management and remediation services,FALSE,446,75156988,5512,54540.63
01000,Alabama,127988,1967752,611,Educational services,FALSE,3111,1844089245,163827,45025.19
01000,Alabama,127988,1967752,621,Ambulatory health care services,FALSE,8675,1527946753,102832,59434.49
01000,Alabama,127988,1967752,622,Hospitals,FALSE,233,1249901098,96241,51948.62
01000,Alabama,127988,1967752,623,Nursing and residential care facilities,TRUE,1003,317655150,46748,27180.41
01000,Alabama,127988,1967752,624,Social assistance,TRUE,2747,158545043,28462,22281.91
01000,Alabama,127988,1967752,711,Performing arts and spectator sports,TRUE,278,21451471,2097,40911.9
01000,Alabama,127988,1967752,712,"Museums, historical sites, zoos, and parks",TRUE,70,8626972,1509,22863
01000,Alabama,127988,1967752,713,"Amusements, gambling, and recreation",FALSE,1021,99119860,19283,20561.09
01000,Alabama,127988,1967752,721,Accommodation,TRUE,1117,95459409,17967,21252.16
01000,Alabama,127988,1967752,722,Food services and drinking places,TRUE,8793,668698357,166199,16093.92
01000,Alabama,127988,1967752,811,Repair and maintenance,FALSE,3324,258655589,20450,50592.78
