"","state","positive","positiveScore","negativeScore","negativeRegularScore","commercialScore","grade","score","negative","pending","hospitalized","death","total","lastUpdateEt","checkTimeEt","dateModified","dateChecked"
"1","AK",36,1,1,1,1,"A",4,986,NA,0,NA,1022,"3/23 19:00","3/24 00:23","2020-03-23T23:00:00Z","2020-03-24T04:23:00Z"
"2","AL",196,1,1,0,0,"C",2,1636,NA,NA,0,1832,"3/23 21:04","3/24 00:32","2020-03-24T01:04:00Z","2020-03-24T04:32:00Z"
"3","AR",201,1,1,1,1,"A",4,931,0,13,0,1132,"3/23 00:00","3/23 23:17","2020-03-23T04:00:00Z","2020-03-24T03:17:00Z"
"4","AZ",265,1,1,1,0,"B",3,309,6,8,2,580,"3/23 00:00","3/23 23:25","2020-03-23T04:00:00Z","2020-03-24T03:25:00Z"
"5","CA",1733,1,1,1,0,"B",3,12567,12100,NA,27,26400,"3/23 00:00","3/23 16:16","2020-03-23T04:00:00Z","2020-03-23T20:16:00Z"
"6","CO",720,1,1,1,1,"A",4,5504,NA,72,7,6224,"3/22 18:00","3/24 00:33","2020-03-22T22:00:00Z","2020-03-24T04:33:00Z"
"7","CT",415,1,1,1,1,"A",4,4085,NA,54,10,4500,"3/23 16:00","3/23 16:38","2020-03-23T20:00:00Z","2020-03-23T20:38:00Z"
"8","DC",137,1,1,1,1,"A",4,1195,2,NA,2,1334,"3/23 19:30","3/24 00:34","2020-03-23T23:30:00Z","2020-03-24T04:34:00Z"
"9","DE",87,1,1,0,0,"C",2,36,NA,0,0,123,"3/23 17:00","3/24 00:35","2020-03-23T21:00:00Z","2020-03-24T04:35:00Z"
"10","FL",1227,1,1,1,1,"A",4,11637,1101,233,17,13965,"3/23 18:00","3/23 23:07","2020-03-23T22:00:00Z","2020-03-24T03:07:00Z"
"11","GA",800,1,1,1,1,"A",4,4269,NA,NA,26,5069,"3/23 19:00","3/24 00:31","2020-03-23T23:00:00Z","2020-03-24T04:31:00Z"
"12","HI",77,1,1,1,1,"A",4,3589,NA,4,NA,3666,"3/23 18:00","3/24 00:43","2020-03-23T22:00:00Z","2020-03-24T04:43:00Z"
"13","IA",105,1,1,0,0,"C",2,2043,NA,NA,NA,2148,"3/23 00:00","3/23 16:41","2020-03-23T04:00:00Z","2020-03-23T20:41:00Z"
"14","ID",50,1,1,1,1,"A",4,1887,NA,NA,0,1937,"3/23 19:00","3/23 22:37","2020-03-23T23:00:00Z","2020-03-24T02:37:00Z"
"15","IL",1285,1,1,1,1,"A",4,8583,NA,NA,12,9868,"3/23 00:00","3/23 16:07","2020-03-23T04:00:00Z","2020-03-23T20:07:00Z"
"16","IN",259,1,1,1,0,"B",3,1701,NA,1,7,1960,"3/23 11:00","3/23 16:46","2020-03-23T15:00:00Z","2020-03-23T20:46:00Z"
"17","KS",82,1,1,1,0,"B",3,417,NA,NA,2,499,"3/23 11:00","3/23 16:45","2020-03-23T15:00:00Z","2020-03-23T20:45:00Z"
"18","KY",124,1,1,1,1,"A",4,1742,NA,NA,3,1866,"3/23 17:00","3/23 21:35","2020-03-23T21:00:00Z","2020-03-24T01:35:00Z"
